country,year,literacy_rate,unemployment_rate
angola,2015,66.2399978637695,16.472
azerbaijan,2015,99.7900009155273,4.96
bangladesh,2015,65.1399993896484,4.397
belize,2015,90.9199981689453,7.578
bolivia,2015,92.4599990844727,3.111
brazil,2015,92.0500030517578,8.538
chile,2015,96.870002746582,6.605
colombia,2015,94.25,8.572
dominican republic,2015,91.9899978637695,7.605
ecuador,2015,94.4599990844727,3.616
spain,2015,98.1399993896484,22.057
ghana,2015,60.1981035367761,6.806
guatemala,2015,80.1999969482422,2.506
honduras,2015,87.9100036621094,6.147
indonesia,2015,95.2200012207031,4.514
cambodia,2015,80.5299987792969,0.393
kuwait,2015,95.6900024414062,2.2
sri lanka,2015,92.5537849020454,4.519
mexico,2015,94.4700012207031,4.311
mali,2015,33.0699996948242,1.404
mozambique,2015,56.0400009155273,3.426
mauritania,2015,65.1100006103516,10.104
mauritius,2015,92.7099990844727,7.41
oman,2015,93.0400009155273,3.403
peru,2015,94.1600036621094,3.272
philippines,2015,98.1800003051758,3.068
paraguay,2015,95.5500030517578,4.556
senegal,2015,43.5900001525879,6.757
singapore,2015,96.8300018310547,3.79
sierra leone,2015,49.4000015258789,4.483
el salvador,2015,87.9700012207031,3.998
togo,2015,63.75,2.204
thailand,2015,92.870002746582,0.597
tanzania,2015,77.8899993896484,2.009
uruguay,2015,98.5199966430664,7.488
uzbekistan,2015,99.9800033569336,5.15
south africa,2015,94.370002746582,25.149
armenia,2016,99.7399978637695,17.617
azerbaijan,2016,99.7900009155273,5.0
burundi,2016,65.6900024414062,1.352
bangladesh,2016,72.7600021362305,4.35
brazil,2016,92.8099975585938,11.58
colombia,2016,94.6500015258789,8.922
dominican republic,2016,93.7799987792969,7.284
ecuador,2016,94.3499984741211,4.597
spain,2016,98.25,19.635
ethiopia,2016,47.4900016784668,2.556
honduras,2016,88.9899978637695,6.727
indonesia,2016,95.379997253418,4.301
iraq,2016,83.3000030517578,10.82
sri lanka,2016,92.3899993896484,4.242
lesotho,2016,97.2699966430664,16.138
maldives,2016,97.7300033569336,5.771
mexico,2016,94.8600006103516,3.853
myanmar,2016,84.7799987792969,1.058
mauritius,2016,93.1600036621094,6.814
malaysia,2016,94.879997253418,3.44
namibia,2016,88.1304979203867,23.352
nigeria,2016,58.2200012207031,4.499
nepal,2016,65.5,10.714
peru,2016,94.1699981689453,3.741
paraguay,2016,94.6500015258789,5.255
senegal,2016,46.0999984741211,4.455
singapore,2016,97.0500030517578,4.08
el salvador,2016,88.1399993896484,4.418
serbia,2016,98.8399963378906,15.257
chad,2016,22.3099994659424,1.091
thailand,2016,91.9800033569336,0.688
tonga,2016,97.1500015258789,2.048
uganda,2016,69.0999984741211,3.002
uruguay,2016,98.5599975585938,7.841
uzbekistan,2016,99.9899978637695,5.16
samoa,2016,99.4000015258789,9.063
south africa,2016,91.7399978637695,26.536
albania,2017,98.8099975585938,13.616
armenia,2017,99.7399978637695,17.704
azerbaijan,2017,99.7900009155273,5.0
burundi,2017,68.379997253418,1.25
benin,2017,38.8699989318848,1.691
bangladesh,2017,72.8899993896484,4.372
brazil,2017,93.0800018310547,12.792
bhutan,2017,66.5599975585938,3.027
chile,2017,96.4000015258789,7.257
colombia,2017,94.8873885601748,9.086
dominican republic,2017,93.2332153385684,5.832
ecuador,2017,92.8300018310547,3.836
georgia,2017,99.3600006103516,13.939
ghana,2017,64.4899978637695,3.369
haiti,2017,68.0100021362305,13.932
iraq,2017,85.5999984741211,13.02
kuwait,2017,96.0400009155273,2.23
sri lanka,2017,91.9000015258789,4.046
maldives,2017,94.5100021362305,5.377
mexico,2017,94.9700012207031,3.419
mozambique,2017,60.6599998474121,3.935
malawi,2017,72.8266778164735,5.046
